Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1646348524,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1646348525,1,,Aggregated,0.000000,0.000000,760,760,760,760,760,760,760,760,760,760,760,2,0,75,418.18881299991517,74.60290399967562,761.7747220001547,837.0
1646348526,2,,Aggregated,0.000000,0.000000,56,75,75,760,760,760,760,760,760,760,760,5,0,56,193.97318999981508,38.10342099995978,761.7747220001547,837.2
1646348527,3,,Aggregated,0.000000,0.000000,75,77,380,380,400,760,760,760,760,760,760,12,0,56,176.62277233326526,30.86416400037706,761.7747220001547,837.4166666666666
1646348528,4,,Aggregated,2.000000,0.000000,36,39,56,77,380,400,760,760,760,760,760,25,0,36,101.89127599996937,30.23190900012196,761.7747220001547,837.36
1646348529,5,,Aggregated,1.666667,0.000000,36,38,39,53,190,400,760,760,760,760,760,37,0,36,80.48330459459484,30.23190900012196,761.7747220001547,837.5405405405405
1646348530,6,,Aggregated,4.250000,0.000000,37,48,75,77,360,390,760,760,760,760,760,48,0,37,94.8773974375096,30.23190900012196,761.7747220001547,837.4375
1646348531,7,,Aggregated,5.800000,0.000000,33,38,48,56,190,380,400,760,760,760,760,69,0,33,76.1632044492823,30.23190900012196,761.7747220001547,837.4202898550725
1646348532,8,,Aggregated,6.666667,0.000000,33,38,53,76,330,360,400,760,760,760,760,85,0,33,85.65714691766891,30.23190900012196,761.7747220001547,837.4470588235295
1646348533,9,,Aggregated,8.000000,0.000000,34,42,75,140,360,410,420,460,760,760,760,103,0,34,103.23769207767344,30.23190900012196,761.7747220001547,837.4271844660194
1646348534,10,,Aggregated,9.000000,0.000000,32,38,54,76,340,400,420,460,760,760,760,125,0,32,91.44106988800559,30.23190900012196,761.7747220001547,837.472
1646348535,11,,Aggregated,9.444444,0.000000,32,35,39,54,330,400,410,460,760,760,760,157,0,32,79.41423517197896,30.173304000072676,761.7747220001547,837.4585987261147
1646348536,12,,Aggregated,11.300000,0.000000,32,33,37,43,180,380,410,460,760,760,760,196,0,32,70.1292628061092,29.45713400004024,761.7747220001547,837.469387755102
1646348537,13,,Aggregated,13.700000,0.000000,31,33,37,39,77,350,410,420,760,760,760,231,0,31,64.72916079652641,29.45713400004024,761.7747220001547,837.4588744588744
1646348538,14,,Aggregated,17.000000,0.000000,31,33,36,38,76,340,410,420,760,760,760,261,0,31,61.40394644059608,29.45713400004024,761.7747220001547,837.463601532567
